    560.8000       65.49329       65.49329       65.49329    
    565.8000       64.82297       64.82297       64.82297    
    570.8000       64.18190       64.18190       64.18190    
    575.8000       63.56976       63.56976       63.56976    
    580.8000       90.48581       90.48581       90.48581    
    585.8000       90.63607       90.63607       90.63607    
    590.8000       90.31661       90.31661       90.31661    
    595.8000       90.01852       90.01852       90.01852    
    600.8000       89.74181       89.74181       89.74181    
    605.8000       89.48647       89.48647       89.48647    
    610.8000       89.25254       89.25254       89.25254    
    615.8000       89.03999       89.03999       89.03999    
    620.8000       88.84880       88.84880       88.84880    
    625.8000       88.67895       88.67895       88.67895    
    630.8000       88.53054       88.53054       88.53054    
    635.8000       88.40343       88.40343       88.40343    
    640.8000       88.29748       88.29748       88.29748    
    645.8000       88.21267       88.21267       88.21267    
    650.8000       88.14890       88.14890       88.14890    
    655.8000       88.10617       88.10617       88.10617    
    660.8000       88.08437       88.08437       88.08437    
    665.8000       88.08347       88.08347       88.08347    
    670.8000       88.10336       88.10336       88.10336    
    675.8000       88.13789       88.13789       88.13789    
    680.8000       88.19213       88.19213       88.19213    
    685.8000       88.26682       88.26682       88.26682    
    690.8000       88.36195       88.36195       88.36195    
    694.0000       88.45106       88.45106       88.45106    
    709.0000       134.6947       134.6947       134.6947    
    724.0000       134.9961       134.9961       134.9961    
    739.0000       135.1671       135.1671       135.1671    
    754.0000       135.2305       135.2305       135.2305    
    769.0000       135.2053       135.2053       135.2053    
    784.0000       135.1077       135.1077       135.1077    
    799.0000       134.9512       134.9512       134.9512    
    814.0000       134.7472       134.7472       134.7472    
    829.0000       134.5054       134.5054       134.5054    
    844.0000       134.2338       134.2338       134.2338    
    859.0000       133.9393       133.9393       133.9393    
    874.0000       133.6274       133.6274       133.6274    
    889.0000       133.3029       133.3029       133.3029    
    904.0000       132.9700       132.9700       132.9700    
    919.0000       132.6316       132.6316       132.6316    
    934.0000       132.2907       132.2907       132.2907    
    949.0000       131.9497       131.9497       131.9497    
    964.0000       131.6101       131.6101       131.6101    
    979.0000       131.2736       131.2736       131.2736    
    994.0000       130.9415       130.9415       130.9415    
    1009.000       130.6146       130.6146       130.6146    
    1024.000       130.2938       130.2938       130.2938    
    1039.000       129.9795       129.9795       129.9795    
    1054.000       129.6725       129.6725       129.6725    
    1069.000       129.3726       129.3726       129.3726    
    1084.000       129.0805       129.0805       129.0805    
    1099.000       128.7961       128.7961       128.7961    
    1114.000       128.5196       128.5196       128.5196    
    1129.000       128.2507       128.2507       128.2507    
    1144.000       127.9898       127.9898       127.9898    
    1159.000       127.7362       127.7362       127.7362    
    1174.000       127.4907       127.4907       127.4907    
    1189.000       127.2525       127.2525       127.2525    
    1204.000       127.0216       127.0216       127.0216    
    1219.000       126.7977       126.7977       126.7977    
    1234.000       126.5808       126.5808       126.5808    
    1249.000       126.3708       126.3708       126.3708    
    1264.000       126.1673       126.1673       126.1673    
    1279.000       125.9701       125.9701       125.9701    
    1294.000       125.7791       125.7791       125.7791    
    1309.000       125.5941       125.5941       125.5941    
    1324.000       125.4149       125.4149       125.4149    
    1339.000       125.2413       125.2413       125.2413    
    1354.000       125.0730       125.0730       125.0730    
    1369.000       124.9100       124.9100       124.9100    
    1384.000       124.7520       124.7520       124.7520    
    1399.000       124.5988       124.5988       124.5988    
    1414.000       124.4504       124.4504       124.4504    
    1429.000       124.3064       124.3064       124.3064    
    1444.000       124.1669       124.1669       124.1669    
    1459.000       124.0315       124.0315       124.0315    
    1474.000       123.9003       123.9003       123.9003    
    1489.000       123.7729       123.7729       123.7729    
    1504.000       123.6492       123.6492       123.6492    
    1519.000       123.5292       123.5292       123.5292    
    1534.000       123.4127       123.4127       123.4127    
    1549.000       123.2995       123.2995       123.2995    
    1564.000       123.1898       123.1898       123.1898    
    1579.000       123.0830       123.0830       123.0830    
    1594.000       122.9794       122.9794       122.9794    
    1609.000       122.8786       122.8786       122.8786    
    1624.000       122.7808       122.7808       122.7808    
    1639.000       122.6856       122.6856       122.6856    
    1654.000       122.5931       122.5931       122.5931    
    1669.000       122.5031       122.5031       122.5031    
    1684.000       122.4156       122.4156       122.4156    
    1699.000       122.3305       122.3305       122.3305    
    1714.000       122.2477       122.2477       122.2477    
    1729.000       122.1671       122.1671       122.1671    
    1744.000       122.0887       122.0887       122.0887    
    1759.000       122.0123       122.0123       122.0123    
    1774.000       121.9379       121.9379       121.9379    
    1789.000       121.8655       121.8655       121.8655    
    1804.000       121.7951       121.7951       121.7951    
    1819.000       121.7264       121.7264       121.7264    
    1834.000       121.6595       121.6595       121.6595    
    1849.000       121.5944       121.5944       121.5944    
    1864.000       121.5309       121.5309       121.5309    
    1879.000       121.4691       121.4691       121.4691    
    1894.000       121.4086       121.4086       121.4086    
    1909.000       121.3499       121.3499       121.3499    
    1924.000       121.2926       121.2926       121.2926    
    1939.000       121.2367       121.2367       121.2367    
    1954.000       121.1822       121.1822       121.1822    
    1969.000       121.1290       121.1290       121.1290    
